Menu Type,Menu Depth,Pointing Device,Target Item,Trial #
Radial,1,Touchpad,Clothing,1
Radial,1,Touchpad,Food,3
Radial,1,Touchpad,Continents,4
Radial,1,Touchpad,Clothing,5
Radial,1,Touchpad,Animals,2
Radial,2,Touchpad,Mammals,1
Radial,2,Touchpad,Tops,3
Radial,2,Touchpad,Asia,5
Radial,2,Touchpad,Fruit,2
Radial,2,Touchpad,Birds,4
Radial,3,Touchpad,USA,1
Radial,3,Touchpad,Penguin,3
Radial,3,Touchpad,Singapore,5
Radial,3,Touchpad,Yoghurt,4
Radial,3,Touchpad,Tophat,2
Radial,1,Mouse,Clothing,1
Radial,1,Mouse,Food,3
Radial,1,Mouse,Animals,2
Radial,1,Mouse,Continents,4
Radial,1,Mouse,Clothing,5
Radial,2,Mouse,Mammals,1
Radial,2,Mouse,Tops,3
Radial,2,Mouse,Fruit,2
Radial,2,Mouse,Asia,5
Radial,2,Mouse,Birds,4
Radial,3,Mouse,USA,1
Radial,3,Mouse,Penguin,3
Radial,3,Mouse,Yoghurt,4
Radial,3,Mouse,Tophat,2
Radial,3,Mouse,Singapore,5
Marking,1,Touchpad,Clothing,1
Marking,1,Touchpad,Animals,2
Marking,1,Touchpad,Continents,4
Marking,1,Touchpad,Clothing,5
Marking,1,Touchpad,Food,3
Marking,2,Touchpad,Mammals,1
Marking,2,Touchpad,Fruit,2
Marking,2,Touchpad,Asia,5
Marking,2,Touchpad,Tops,3
Marking,2,Touchpad,Birds,4
Marking,3,Touchpad,USA,1
Marking,3,Touchpad,Tophat,2
Marking,3,Touchpad,Singapore,5
Marking,3,Touchpad,Yoghurt,4
Marking,3,Touchpad,Penguin,3
Marking,1,Mouse,Clothing,1
Marking,1,Mouse,Animals,2
Marking,1,Mouse,Food,3
Marking,1,Mouse,Continents,4
Marking,1,Mouse,Clothing,5
Marking,2,Mouse,Mammals,1
Marking,2,Mouse,Fruit,2
Marking,2,Mouse,Tops,3
Marking,2,Mouse,Asia,5
Marking,2,Mouse,Birds,4
Marking,3,Mouse,USA,1
Marking,3,Mouse,Tophat,2
Marking,3,Mouse,Yoghurt,4
Marking,3,Mouse,Penguin,3
Marking,3,Mouse,Singapore,5